Market;Manufacturer;Brand;Channel;Fact;metric;TimePoint;Value
Australia;Total;Total;Total;Value Sales;Dollars;2012;92248.33988
Australia;Total;Total;Total;Volume Sales;Liters;2012;8400.21161
Australia;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;10.98166858
Australia;Total;Total;Total;TDP;;2012;3436.009783
Brazil;Total;Total;Total;Value Sales;Dollars;2012;246073.82
Brazil;Total;Total;Total;Volume Sales;Liters;2012;22298.54
Brazil;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;11.03542295
Brazil;Total;Total;Total;TDP;;2012;4044
Canada;Total;Total;Total;Value Sales;Dollars;2012;108945.1056
Canada;Total;Total;Total;Volume Sales;Liters;2012;19602.325
Canada;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;5.557764482
Canada;Total;Total;Total;TDP;;2012;3529.751667
Germany;Total;Total;Total;Value Sales;Dollars;2012;237288.8064
Germany;Total;Total;Total;Volume Sales;Liters;2012;28293.6806
Germany;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;8.386636215
Germany;Total;Total;Total;TDP;;2012;2817.679167
Italy;Total;Total;Total;Value Sales;Dollars;2012;98035.00088
Italy;Total;Total;Total;Volume Sales;Liters;2012;11083.8676
Italy;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;8.844836876
Italy;Total;Total;Total;TDP;;2012;1934.920833
Mexico;Total;Total;Total;Value Sales;Dollars;2012;86597.02187
Mexico;Total;Total;Total;Volume Sales;Liters;2012;8588.64
Mexico;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;10.08273974
Mexico;Total;Total;Total;TDP;;2012;4141.166667
Spain;Total;Total;Total;Value Sales;Dollars;2012;104343.7528
Spain;Total;Total;Total;Volume Sales;Liters;2012;14713.38
Spain;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;7.091759524
Spain;Total;Total;Total;TDP;;2012;1722.3625
UK;Total;Total;Total;Value Sales;Dollars;2012;227389.295
UK;Total;Total;Total;Volume Sales;Liters;2012;30604.974
UK;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;7.429815004
UK;Total;Total;Total;TDP;;2012;2855.9375
US;Total;Total;Total;Value Sales;Dollars;2012;1373399.588
US;Total;Total;Total;Volume Sales;Liters;2012;257807.1808
US;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;5.327235586
US;Total;Total;Total;TDP;;2012;5864.48225
Japan;Total;Total;Total;Value Sales;Dollars;2012;241567.9754
Japan;Total;Total;Total;Volume Sales;Liters;2012;30064.665
Japan;Total;Total;Total;Avg Price per EQ;Dollar per Liter;2012;8.03494652
Japan;Total;Total;Total;TDP;;2012;4000
Australia;Total;Total;Total;Unit Sales;;2012;17.09719252
Brazil;Total;Total;Total;Unit Sales;;2012;68.8298
Canada;Total;Total;Total;Unit Sales;;2012;25.1364868
Germany;Total;Total;Total;Unit Sales;;2012;75.7083758
Italy;Total;Total;Total;Unit Sales;;2012;23.220374
Mexico;Total;Total;Total;Unit Sales;;2012;26.15743361
Spain;Total;Total;Total;Unit Sales;;2012;30.47892
UK;Total;Total;Total;Unit Sales;;2012;70.2888174
US;Total;Total;Total;Unit Sales;;2012;318.6073781
Japan;Total;Total;Total;Unit Sales;;2012;53.997
Australia;Total;Total;Total;Premiumization;index;2012;1
Brazil;Total;Total;Total;Premiumization;index;2012;1
Canada;Total;Total;Total;Premiumization;index;2012;1
Germany;Total;Total;Total;Premiumization;index;2012;1
Italy;Total;Total;Total;Premiumization;index;2012;1
Mexico;Total;Total;Total;Premiumization;index;2012;1
Spain;Total;Total;Total;Premiumization;index;2012;1
UK;Total;Total;Total;Premiumization;index;2012;1
US;Total;Total;Total;Premiumization;index;2012;1
Japan;Total;Total;Total;Premiumization;index;2012;1
Australia;Total;Total;Total;Media Spend;Dollars;2012;6725.483
Brazil;Total;Total;Total;Media Spend;Dollars;2012;125579.3911
Canada;Total;Total;Total;Media Spend;Dollars;2012;10483.993
Germany;Total;Total;Total;Media Spend;Dollars;2012;48195.8222
Italy;Total;Total;Total;Media Spend;Dollars;2012;0
Mexico;Total;Total;Total;Media Spend;Dollars;2012;25433.86373
Spain;Total;Total;Total;Media Spend;Dollars;2012;0
UK;Total;Total;Total;Media Spend;Dollars;2012;25032.99215
US;Total;Total;Total;Media Spend;Dollars;2012;129305.6
Japan;Total;Total;Total;Media Spend;Dollars;2012;27995.14722
Australia;Total;Total;Total;Avg % Discount;%;2012;0.325276243
Brazil;Total;Total;Total;Avg % Discount;%;2012;
Canada;Total;Total;Total;Avg % Discount;%;2012;0.244008218
Germany;Total;Total;Total;Avg % Discount;%;2012;0.15672912
Italy;Total;Total;Total;Avg % Discount;%;2012;0.234697223
Mexico;Total;Total;Total;Avg % Discount;%;2012;
Spain;Total;Total;Total;Avg % Discount;%;2012;0.056202967
UK;Total;Total;Total;Avg % Discount;%;2012;0.315364216
US;Total;Total;Total;Avg % Discount;%;2012;0.095616293
Japan;Total;Total;Total;Avg % Discount;%;2012;
Australia;Total;Total;Total;Avg % Promo Support;%;2012;0.164202547
Brazil;Total;Total;Total;Avg % Promo Support;%;2012;
Canada;Total;Total;Total;Avg % Promo Support;%;2012;0.288449645
Germany;Total;Total;Total;Avg % Promo Support;%;2012;0.067045178
Italy;Total;Total;Total;Avg % Promo Support;%;2012;0.135000649
Mexico;Total;Total;Total;Avg % Promo Support;%;2012;
Spain;Total;Total;Total;Avg % Promo Support;%;2012;0.143712465
UK;Total;Total;Total;Avg % Promo Support;%;2012;0.282607154
US;Total;Total;Total;Avg % Promo Support;%;2012;0.247130013
Japan;Total;Total;Total;Avg % Promo Support;%;2012;
Australia;Total;Total;Total;Avg % Volume sold as Promo;%;2012;0.368495343
Brazil;Total;Total;Total;Avg % Volume sold as Promo;%;2012;
Canada;Total;Total;Total;Avg % Volume sold as Promo;%;2012;0.575428986
Germany;Total;Total;Total;Avg % Volume sold as Promo;%;2012;0.142749047
Italy;Total;Total;Total;Avg % Volume sold as Promo;%;2012;0.297752012
Mexico;Total;Total;Total;Avg % Volume sold as Promo;%;2012;
Spain;Total;Total;Total;Avg % Volume sold as Promo;%;2012;0.204588613
UK;Total;Total;Total;Avg % Volume sold as Promo;%;2012;0.566275567
US;Total;Total;Total;Avg % Volume sold as Promo;%;2012;0.318699493
Japan;Total;Total;Total;Avg % Volume sold as Promo;%;2012;
Australia;Total;Total;Total;Penetration;%;2012;
Brazil;Total;Total;Total;Penetration;%;2012;
Canada;Total;Total;Total;Penetration;%;2012;
Germany;Total;Total;Total;Penetration;%;2012;
Italy;Total;Total;Total;Penetration;%;2012;
Mexico;Total;Total;Total;Penetration;%;2012;
Spain;Total;Total;Total;Penetration;%;2012;
UK;Total;Total;Total;Penetration;%;2012;
US;Total;Total;Total;Penetration;%;2012;0.51900319
Japan;Total;Total;Total;Penetration;%;2012;
Australia;Total;Total;Total;Base Value Sales;Dollars;2012;78564048
Brazil;Total;Total;Total;Base Value Sales;Dollars;2012;
Canada;Total;Total;Total;Base Value Sales;Dollars;2012;76069673
Germany;Total;Total;Total;Base Value Sales;Dollars;2012;219114082
Italy;Total;Total;Total;Base Value Sales;Dollars;2012;84951379
Mexico;Total;Total;Total;Base Value Sales;Dollars;2012;
Spain;Total;Total;Total;Base Value Sales;Dollars;2012;97443504
UK;Total;Total;Total;Base Value Sales;Dollars;2012;160882526
US;Total;Total;Total;Base Value Sales;Dollars;2012;1292275301
Japan;Total;Total;Total;Base Value Sales;Dollars;2012;
Australia;Total;Total;Total;Base Volume Sales;Liters;2012;6346960
Brazil;Total;Total;Total;Base Volume Sales;Liters;2012;
Canada;Total;Total;Total;Base Volume Sales;Liters;2012;11696402
Germany;Total;Total;Total;Base Volume Sales;Liters;2012;25997813
Italy;Total;Total;Total;Base Volume Sales;Liters;2012;8998416
Mexico;Total;Total;Total;Base Volume Sales;Liters;2012;
Spain;Total;Total;Total;Base Volume Sales;Liters;2012;13667360
UK;Total;Total;Total;Base Volume Sales;Liters;2012;18503286
US;Total;Total;Total;Base Volume Sales;Liters;2012;233584008
Japan;Total;Total;Total;Base Volume Sales;Liters;2012;
Australia;Total;Total;Total;Promo Value Sales;Dollars;2012;27313759
Brazil;Total;Total;Total;Promo Value Sales;Dollars;2012;
